Location,Ground_Truth,State_List,Rank
"63,11",ID,[79],1
"63,16",= CompExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 186]",11
"63,18",NUM,[123],2
"63,20",OrExpr_token1 AndExpr,"[43, 44, 42, 48, 59, 94, 135, 169, 181, 194, 186]",8
"63,23",ID,[99],2
"63,33",> AdditiveExpr,"[5, 44, 42, 48, 59, 90, 135, 170, 181, 194, 186]",14
"63,35",NUM,[129],1
"63,36",CR_token2,"[43, 44, 42, 48, 71, 90, 135, 170, 181, 194, 186]",3
"64,7",ID ( ),"[126, 93, 187]",6
"64,16",( ),[184],5
"64,17",),[261],1
"64,18",CR,"[215, 226, 205]",2
"64,38",CR_token2,"[215, 226, 205]",1
"66,77",CR_token2,"[126, 132, 95, 187]",5
"67,7",ID = Expr,"[126, 93, 182, 187]",2
"67,18",= Expr,[184],1
"67,20",ID,[70],1
"67,25",CR_token2,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",5
"68,7",Stmt_token1 Expr CRStmtCRs Stmt_token2,"[126, 132, 95, 182, 187]",12
"68,13",ID,[79],1
"68,24",> AdditiveExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 186]",14
"68,26",NUM,[129],1
"68,28",AndExpr_token1 EqNeqExpr,"[43, 44, 42, 48, 71, 90, 135, 169, 181, 194, 186]",9
"68,32",ID,[104],1
"68,38",> AdditiveExpr,"[5, 44, 42, 48, 59, 90, 130, 169, 181, 194, 186]",12
"68,40",NUM,[129],1
"68,41",CR_token2,"[43, 44, 42, 48, 71, 90, 130, 169, 181, 194, 186]",3
"69,9",ID . ID ( Exprs ),"[126, 93, 187]",5
"69,16",. ID ( Exprs ),[184],2
"69,17",ID ( Exprs ),[255],1
"69,22",( Exprs ),[221],1
"69,23",NUM,[27],3
"69,25",),"[51, 29, 38, 50, 65, 91, 128, 167, 183, 195, 217, 242, 238]",2
"69,26",CR_token2,"[210, 226, 205]",1
"70,9",ID = Expr,"[126, 132, 95, 187]",1
"70,20",= Expr,[184],1
"70,22",ID,[70],1
"70,33",- MultiplicativeExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 205]",6
"70,35",NUM,[144],1
"70,37",CR_token2,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 205]",2
"71,7",Stmt_token2,"[126, 132, 92, 95, 187]",3
"71,15",CR_token2,"[222, 205]",1
"73,7",Stmt_token9 Expr Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[126, 132, 92, 95, 182, 187]",4
"73,10",ID,[86],1
"73,20",> AdditiveExpr,"[4, 29, 38, 50, 65, 91, 128, 167, 183, 195, 254]",11
"73,22",NUM,[131],1
"73,24",Stmt_token10 CRStmtCRs MoreThanZeroElseIf,"[51, 29, 38, 50, 78, 91, 128, 167, 183, 195, 254]",2
"73,28",CR_token2,[124],1
"74,9",ID = Expr,"[109, 67, 122]",1
"74,19",= Expr,[184],1
"74,21",ID,[70],1
"74,31",- MultiplicativeExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 207]",6
"74,33",NUM,[144],1
"74,34",CR,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 207]",5
"74,88",CR_token2,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 207]",1
"75,7",OptionalElse_token2 CRStmtCRs OptionalElse_token1,"[109, 112, 68, 122]",8
"75,11",CR_token2,[201],1
"76,9",ID = Expr,"[163, 113, 237]",2
"76,14",= Expr,[184],1
"76,16",ID,[70],1
"76,21",+ MultiplicativeExpr,"[5, 44, 42, 48, 59, 90, 135, 169, 181, 194, 215, 226, 202]",1
"76,23",NUM,[144],1
"76,24",CR,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 202]",7
"76,69",CR_token2,"[43, 44, 42, 40, 59, 90, 135, 169, 181, 194, 215, 226, 202]",2
"77,7",OptionalElse_token1,"[163, 166, 114, 237]",1
"77,12",CR_token2,"[209, 219, 211, 205]",1
"79,1",CRStmtCRs,"[126, 132, 92, 95, 182, 187]",7
"79,40",CR_token2,"[126, 132, 92, 95, 182, 187]",5
"80,7",ID ( ),"[126, 93, 182, 187]",7
"80,16",( ),[184],5
"80,17",),[261],1
"80,18",CR,"[215, 226, 205]",2
"80,49",CR_token2,"[215, 226, 205]",1
"81,5",Stmt_token2,"[126, 132, 95, 182, 187]",3
