File Name,Total,Top-1 Acc (%),Top-3 Acc (%),Top-5 Acc (%),Top-10 Acc (%),Top-20 Acc (%),Found,Found (%),Not Found,Not Found (%),Fail,Fail (%)
php-8-objects-patterns-practice-main_src_ch09_batch07_MegaApptEncoder.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch07_Runner.php,130,41.54,70.77,82.31,93.85,95.38,128,98.46,2,1.54,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch07_BloggsApptEncoder.php,35,65.71,85.71,91.43,97.14,100.0,35,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_ObjectAssembler.php,354,50.28,78.25,87.57,98.02,99.44,354,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_AppointmentMaker.php,53,64.15,83.02,90.57,100.0,100.0,53,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_Runner.php,66,51.52,80.3,90.91,98.48,98.48,66,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch14_AppointmentMaker2.php,67,62.69,85.07,91.04,97.01,100.0,67,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch06_CommsManager.php,34,61.76,82.35,85.29,100.0,100.0,34,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch06_ApptEncoder.php,29,51.72,72.41,82.76,96.55,100.0,29,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch06_MegaApptEncoder.php,36,66.67,86.11,91.67,97.22,100.0,36,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch06_Runner.php,63,52.38,80.95,88.89,96.83,96.83,62,98.41,1,1.59,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch06_BloggsApptEncoder.php,36,66.67,86.11,91.67,97.22,100.0,36,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch08_CommsManager.php,47,31.91,63.83,76.6,89.36,100.0,47,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch08_ApptEncoder.php,29,51.72,72.41,82.76,96.55,100.0,29,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch08_Runner.php,64,46.88,76.56,85.94,95.31,95.31,64,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch08_BloggsApptEncoder.php,36,66.67,86.11,91.67,97.22,100.0,36,100.0,0,0.0,0,0.0
php-8-objects-patterns-practice-main_src_ch09_batch08_BloggsCommsManager.php,66,53.03,83.33,89.39,96.97,100.0,66,100.0,0,0.0,0,0.0
